lambda	absorbtion
1643	5.85E+00
1644	5.83E+00
1645	5.80E+00
1646	5.79E+00
1647	5.75E+00
1648	5.75E+00
1649	5.72E+00
1650	5.71E+00
1651	5.68E+00
1652	5.68E+00
1653	5.66E+00
1654	5.66E+00
1655	5.64E+00
1656	5.65E+00
1657	5.63E+00
1658	5.63E+00
1659	5.62E+00
1660	5.62E+00
1661	5.60E+00
1662	5.61E+00
1663	5.60E+00
1664	5.60E+00
1665	5.58E+00
1666	5.58E+00
1667	5.56E+00
1668	5.56E+00
1669	5.55E+00
1670	5.54E+00
1671	5.54E+00
1672	5.54E+00
1673	5.53E+00
1674	5.53E+00
1675	5.53E+00
1676	5.53E+00
1677	5.53E+00
1678	5.53E+00
1679	5.52E+00
1680	5.52E+00
1681	5.52E+00
1682	5.53E+00
1683	5.52E+00
1684	5.52E+00
1685	5.52E+00
1686	5.52E+00
1687	5.51E+00
1688	5.53E+00
1689	5.51E+00
1690	5.52E+00
1691	5.51E+00
1692	5.52E+00
1693	5.51E+00
1694	5.52E+00
1695	5.52E+00
1696	5.54E+00
1697	5.54E+00
1698	5.54E+00
1699	5.56E+00
1700	5.57E+00
1701	5.58E+00
1702	5.61E+00
1703	5.61E+00
1704	5.63E+00
1705	5.64E+00
1706	5.66E+00
1707	5.67E+00
1708	5.69E+00
1709	5.70E+00
1710	5.73E+00
1711	5.75E+00
1712	5.77E+00
1713	5.78E+00
1714	5.80E+00
1715	5.81E+00
1716	5.83E+00
1717	5.84E+00
1718	5.88E+00
1719	5.89E+00
1720	5.93E+00
1721	5.95E+00
1722	5.97E+00
1723	6.00E+00
1724	6.03E+00
1725	6.05E+00
1726	6.09E+00
1727	6.10E+00
1728	6.14E+00
1729	6.17E+00
1730	6.20E+00
1731	6.22E+00
1732	6.26E+00
1733	6.28E+00
1734	6.33E+00
1735	6.37E+00
1736	6.39E+00
1737	6.45E+00
1738	6.49E+00
1739	6.52E+00
1740	6.57E+00
1741	6.62E+00
1742	6.66E+00
1743	6.69E+00
1744	6.75E+00
1745	6.80E+00
1746	6.84E+00
1747	6.90E+00
1748	6.96E+00
1749	7.00E+00
1750	7.05E+00
1751	7.11E+00
1752	7.18E+00
1753	7.24E+00
1754	7.27E+00
1755	7.34E+00
1756	7.41E+00
1757	7.48E+00
1758	7.54E+00
1759	7.59E+00
1760	7.67E+00
1761	7.73E+00
1762	7.78E+00
1763	7.83E+00
