wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
515	0.021180926	0.029287994	0.018884444	0.025318724	0.016804454	0.015293466	0.022180607	0.020914596	0.017255525
516	0.021642325	0.02994008	0.019316073	0.025903464	0.017198107	0.015667708	0.022709999	0.021389026	0.017642288
517	0.022130869	0.030635641	0.019774517	0.026524184	0.017613204	0.016060822	0.023271967	0.021894663	0.018053425
518	0.022649479	0.031375177	0.02025796	0.027177236	0.018052293	0.016474343	0.023863293	0.022425311	0.01848622
519	0.023190302	0.032152412	0.020764925	0.027854937	0.018511287	0.016909161	0.024476632	0.022979493	0.018936598
520	0.023748589	0.032957296	0.021288747	0.028545026	0.018984774	0.017353141	0.025105657	0.023549367	0.019402821
521	0.024325042	0.033792073	0.021826537	0.029247392	0.019474009	0.01780602	0.025752984	0.024132743	0.019887055
522	0.024914524	0.034652133	0.022374233	0.029959366	0.01997454	0.018271043	0.026415312	0.024724689	0.020385785
523	0.025509635	0.035525951	0.022932599	0.030676685	0.020476527	0.018742709	0.027084443	0.025326081	0.020891534
524	0.026105616	0.036402019	0.023494865	0.031394167	0.020977873	0.019217592	0.027753073	0.025933258	0.021400881
525	0.02669894	0.037267445	0.024049792	0.032107853	0.021478252	0.019688813	0.028413471	0.026539095	0.021911398
526	0.02728075	0.038113885	0.024592401	0.032813513	0.021971649	0.020151206	0.029060486	0.027134631	0.022414857
527	0.027844227	0.038937387	0.025120485	0.033502271	0.022451091	0.020599545	0.029691238	0.027716636	0.022903522
528	0.028382966	0.039731177	0.025630089	0.034165071	0.022911106	0.021027349	0.030298862	0.028279657	0.023370931
529	0.028893776	0.040492567	0.026114501	0.034797342	0.023350548	0.021432315	0.030876447	0.028812021	0.023814849
530	0.029371937	0.041215627	0.026566977	0.035392287	0.023765732	0.021814029	0.031420857	0.029310204	0.024235902
531	0.029815285	0.041893982	0.026987014	0.035945538	0.024154688	0.022170867	0.03192825	0.029772044	0.024629488
532	0.030225886	0.042524972	0.027377996	0.03645497	0.024516687	0.022498586	0.032396338	0.03019543	0.024992003
533	0.030604824	0.043117172	0.027740995	0.036925578	0.024853515	0.022802608	0.032834014	0.030585568	0.02532916
534	0.03095184	0.043667786	0.028073536	0.037358905	0.025162164	0.023081399	0.033238576	0.030942414	0.025638299
535	0.031269139	0.044172296	0.028378281	0.037758121	0.025439803	0.02333276	0.033607038	0.031268718	0.025917559
536	0.031553504	0.044629925	0.028656092	0.038122393	0.02568999	0.02356286	0.033942327	0.031564939	0.026168931
537	0.031807188	0.045038014	0.028908592	0.038452205	0.025912993	0.023770244	0.034245695	0.031831074	0.026395141
